"DATE","TIME PERIOD","Unit Labour Cost (based on persons), deflator (MNA.Q.N.FR.W2.S1.S1._Z.ULC_PS._Z.GTI._Z.IX.D.N)"
"1978-03-31","1978Q1","44.11"
"1978-06-30","1978Q2","45.33"
"1978-09-30","1978Q3","46.75"
"1978-12-31","1978Q4","47.68"
"1979-03-31","1979Q1","48.24"
"1979-06-30","1979Q2","49.83"
"1979-09-30","1979Q3","51.21"
"1979-12-31","1979Q4","52.94"
"1980-03-31","1980Q1","50.10"
"1980-06-30","1980Q2","51.19"
"1980-09-30","1980Q3","55.83"
"1980-12-31","1980Q4","51.62"
"1981-03-31","1981Q1","57.39"
"1981-06-30","1981Q2","57.00"
"1981-09-30","1981Q3","62.11"
"1981-12-31","1981Q4","57.95"
"1982-03-31","1982Q1","65.19"
"1982-06-30","1982Q2","64.12"
"1982-09-30","1982Q3","68.82"
"1982-12-31","1982Q4","63.24"
"1983-03-31","1983Q1","70.00"
"1983-06-30","1983Q2","68.56"
"1983-09-30","1983Q3","73.17"
"1983-12-31","1983Q4","67.65"
"1984-03-31","1984Q1","72.33"
"1984-06-30","1984Q2","71.31"
"1984-09-30","1984Q3","74.01"
"1984-12-31","1984Q4","70.07"
"1985-03-31","1985Q1","75.53"
"1985-06-30","1985Q2","74.11"
"1985-09-30","1985Q3","77.63"
"1985-12-31","1985Q4","71.95"
"1986-03-31","1986Q1","75.41"
"1986-06-30","1986Q2","72.74"
"1986-09-30","1986Q3","75.80"
"1986-12-31","1986Q4","70.67"
"1987-03-31","1987Q1","76.65"
"1987-06-30","1987Q2","74.27"
"1987-09-30","1987Q3","78.08"
"1987-12-31","1987Q4","71.79"
"1988-03-31","1988Q1","75.68"
"1988-06-30","1988Q2","73.80"
"1988-09-30","1988Q3","77.47"
"1988-12-31","1988Q4","72.82"
"1989-03-31","1989Q1","76.30"
"1989-06-30","1989Q2","75.25"
"1989-09-30","1989Q3","78.44"
"1989-12-31","1989Q4","73.83"
"1990-03-31","1990Q1","77.02"
"1990-06-30","1990Q2","76.19"
"1990-09-30","1990Q3","79.60"
"1990-12-31","1990Q4","75.07"
"1991-03-31","1991Q1","78.13"
"1991-06-30","1991Q2","77.24"
"1991-09-30","1991Q3","79.97"
"1991-12-31","1991Q4","76.44"
"1992-03-31","1992Q1","78.60"
"1992-06-30","1992Q2","77.59"
"1992-09-30","1992Q3","80.30"
"1992-12-31","1992Q4","76.16"
"1993-03-31","1993Q1","79.40"
"1993-06-30","1993Q2","76.95"
"1993-09-30","1993Q3","78.65"
