"DATE","TIME PERIOD","Wages and salaries, nominal (MNA.Q.S.FR.W2.S1.S1.D.D11._Z.GTN._Z.XDC.V.N)"
"1949-03-31","1949Q1","369.90"
"1949-06-30","1949Q2","378.90"
"1949-09-30","1949Q3","380.60"
"1949-12-31","1949Q4","381.70"
"1950-03-31","1950Q1","389.00"
"1950-06-30","1950Q2","405.00"
"1950-09-30","1950Q3","422.70"
"1950-12-31","1950Q4","443.50"
"1951-03-31","1951Q1","470.60"
"1951-06-30","1951Q2","509.70"
"1951-09-30","1951Q3","551.50"
"1951-12-31","1951Q4","595.80"
"1952-03-31","1952Q1","622.50"
"1952-06-30","1952Q2","641.10"
"1952-09-30","1952Q3","650.40"
"1952-12-31","1952Q4","656.10"
"1953-03-31","1953Q1","658.80"
"1953-06-30","1953Q2","663.60"
"1953-09-30","1953Q3","668.60"
"1953-12-31","1953Q4","678.30"
"1954-03-31","1954Q1","694.20"
"1954-06-30","1954Q2","713.10"
"1954-09-30","1954Q3","724.70"
"1954-12-31","1954Q4","740.80"
"1955-03-31","1955Q1","760.20"
"1955-06-30","1955Q2","779.60"
"1955-09-30","1955Q3","799.10"
"1955-12-31","1955Q4","820.70"
"1956-03-31","1956Q1","837.90"
"1956-06-30","1956Q2","858.10"
"1956-09-30","1956Q3","880.70"
"1956-12-31","1956Q4","903.00"
"1957-03-31","1957Q1","925.50"
"1957-06-30","1957Q2","951.60"
"1957-09-30","1957Q3","983.50"
"1957-12-31","1957Q4","1021.70"
"1958-03-31","1958Q1","1064.50"
"1958-06-30","1958Q2","1103.10"
"1958-09-30","1958Q3","1133.80"
"1958-12-31","1958Q4","1159.10"
"1959-03-31","1959Q1","1188.70"
"1959-06-30","1959Q2","1221.90"
"1959-09-30","1959Q3","1248.50"
"1959-12-31","1959Q4","1276.20"
"1960-03-31","1960Q1","1302.20"
"1960-06-30","1960Q2","1331.60"
"1960-09-30","1960Q3","1365.20"
"1960-12-31","1960Q4","1402.50"
"1961-03-31","1961Q1","1437.70"
"1961-06-30","1961Q2","1475.30"
"1961-09-30","1961Q3","1515.90"
"1961-12-31","1961Q4","1558.60"
"1962-03-31","1962Q1","1607.30"
"1962-06-30","1962Q2","1657.50"
"1962-09-30","1962Q3","1711.40"
"1962-12-31","1962Q4","1768.70"
"1963-03-31","1963Q1","1840.10"
"1963-06-30","1963Q2","1902.60"
"1963-09-30","1963Q3","1967.40"
"1963-12-31","1963Q4","2034.60"
"1964-03-31","1964Q1","2093.10"
"1964-06-30","1964Q2","2149.20"
"1964-09-30","1964Q3","2197.20"
"1964-12-31","1964Q4","2244.40"
"1965-03-31","1965Q1","2278.00"
"1965-06-30","1965Q2","2331.50"
"1965-09-30","1965Q3","2369.90"
"1965-12-31","1965Q4","2419.40"
"1966-03-31","1966Q1","2466.70"
"1966-06-30","1966Q2","2517.30"
"1966-09-30","1966Q3","2566.00"
"1966-12-31","1966Q4","2617.40"
"1967-03-31","1967Q1","2679.70"
"1967-06-30","1967Q2","2722.50"
"1967-09-30","1967Q3","2784.00"
"1967-12-31","1967Q4","2834.10"
"1968-03-31","1968Q1","2933.90"
"1968-06-30","1968Q2","2961.10"
"1968-09-30","1968Q3","3217.50"
"1968-12-31","1968Q4","3317.90"
"1969-03-31","1969Q1","3391.40"
"1969-06-30","1969Q2","3493.80"
"1969-09-30","1969Q3","3606.10"
"1969-12-31","1969Q4","3769.00"
"1970-03-31","1970Q1","3912.40"
"1970-06-30","1970Q2","4050.60"
"1970-09-30","1970Q3","4163.80"
"1970-12-31","1970Q4","4274.20"
"1971-03-31","1971Q1","4449.20"
"1971-06-30","1971Q2","4594.80"
"1971-09-30","1971Q3","4747.60"
"1971-12-31","1971Q4","4908.30"
"1972-03-31","1972Q1","5070.40"
"1972-06-30","1972Q2","5242.30"
"1972-09-30","1972Q3","5408.20"
"1972-12-31","1972Q4","5597.00"
"1973-03-31","1973Q1","5799.70"
"1973-06-30","1973Q2","6031.10"
"1973-09-30","1973Q3","6296.10"
"1973-12-31","1973Q4","6605.80"
"1974-03-31","1974Q1","6945.90"
"1974-06-30","1974Q2","7306.60"
"1974-09-30","1974Q3","7667.90"
"1974-12-31","1974Q4","7890.70"
"1975-03-31","1975Q1","8148.00"
"1975-06-30","1975Q2","8457.60"
"1975-09-30","1975Q3","8780.60"
"1975-12-31","1975Q4","9129.10"
"1976-03-31","1976Q1","9557.90"
"1976-06-30","1976Q2","9980.90"
"1976-09-30","1976Q3","10373.00"
"1976-12-31","1976Q4","10700.40"
"1977-03-31","1977Q1","10992.80"
"1977-06-30","1977Q2","11314.30"
"1977-09-30","1977Q3","11695.00"
"1977-12-31","1977Q4","12177.00"
"1978-03-31","1978Q1","12698.20"
"1978-06-30","1978Q2","13179.20"
"1978-09-30","1978Q3","13660.40"
"1978-12-31","1978Q4","14078.80"
"1979-03-31","1979Q1","14460.20"
"1979-06-30","1979Q2","14932.20"
"1979-09-30","1979Q3","15513.70"
"1979-12-31","1979Q4","16201.20"
"1980-03-31","1980Q1","16863.70"
"1980-06-30","1980Q2","17573.50"
"1980-09-30","1980Q3","18208.30"
"1980-12-31","1980Q4","18826.80"
"1981-03-31","1981Q1","19455.20"
"1981-06-30","1981Q2","20158.40"
"1981-09-30","1981Q3","20882.50"
"1981-12-31","1981Q4","21770.40"
"1982-03-31","1982Q1","22694.30"
"1982-06-30","1982Q2","23365.70"
"1982-09-30","1982Q3","23759.30"
"1982-12-31","1982Q4","24197.30"
"1983-03-31","1983Q1","24795.90"
"1983-06-30","1983Q2","25296.30"
"1983-09-30","1983Q3","25772.10"
"1983-12-31","1983Q4","26286.30"
"1984-03-31","1984Q1","26794.50"
"1984-06-30","1984Q2","27212.70"
"1984-09-30","1984Q3","27556.90"
"1984-12-31","1984Q4","27876.90"
"1985-03-31","1985Q1","28257.10"
"1985-06-30","1985Q2","28640.30"
"1985-09-30","1985Q3","29076.30"
"1985-12-31","1985Q4","29579.60"
"1986-03-31","1986Q1","29971.30"
"1986-06-30","1986Q2","30299.70"
"1986-09-30","1986Q3","30662.50"
"1986-12-31","1986Q4","31012.50"
"1987-03-31","1987Q1","31399.40"
"1987-06-30","1987Q2","31871.00"
"1987-09-30","1987Q3","32366.70"
"1987-12-31","1987Q4","32889.10"
"1988-03-31","1988Q1","33447.10"
"1988-06-30","1988Q2","33987.50"
"1988-09-30","1988Q3","34529.10"
"1988-12-31","1988Q4","35187.60"
"1989-03-31","1989Q1","36001.40"
"1989-06-30","1989Q2","36708.40"
"1989-09-30","1989Q3","37223.50"
"1989-12-31","1989Q4","38137.10"
"1990-03-31","1990Q1","38985.10"
"1990-06-30","1990Q2","39649.90"
"1990-09-30","1990Q3","40330.80"
"1990-12-31","1990Q4","40902.70"
"1991-03-31","1991Q1","41412.70"
"1991-06-30","1991Q2","41794.30"
"1991-09-30","1991Q3","42097.00"
"1991-12-31","1991Q4","42334.00"
"1992-03-31","1992Q1","42620.60"
"1992-06-30","1992Q2","43001.40"
"1992-09-30","1992Q3","43275.70"
"1992-12-31","1992Q4","43342.50"
"1993-03-31","1993Q1","43371.50"
"1993-06-30","1993Q2","43279.40"
"1993-09-30","1993Q3","43356.20"
"1993-12-31","1993Q4","43516.80"
"1994-03-31","1994Q1","43579.50"
"1994-06-30","1994Q2","43857.10"
"1994-09-30","1994Q3","44381.10"
"1994-12-31","1994Q4","44951.60"
"1995-03-31","1995Q1","45393.10"
"1995-06-30","1995Q2","45827.60"
"1995-09-30","1995Q3","46202.70"
"1995-12-31","1995Q4","46590.90"
"1996-03-31","1996Q1","46963.90"
"1996-06-30","1996Q2","47278.10"
"1996-09-30","1996Q3","47529.50"
"1996-12-31","1996Q4","47824.80"
"1997-03-31","1997Q1","48219.00"
"1997-06-30","1997Q2","48573.90"
"1997-09-30","1997Q3","49023.10"
"1997-12-31","1997Q4","49714.80"
"1998-03-31","1998Q1","50415.30"
"1998-06-30","1998Q2","51269.10"
"1998-09-30","1998Q3","52219.60"
"1998-12-31","1998Q4","52843.20"
"1999-03-31","1999Q1","53540.60"
"1999-06-30","1999Q2","54559.50"
"1999-09-30","1999Q3","55551.80"
"1999-12-31","1999Q4","56612.70"
"2000-03-31","2000Q1","57938.90"
"2000-06-30","2000Q2","58994.60"
"2000-09-30","2000Q3","60166.80"
"2000-12-31","2000Q4","61626.70"
"2001-03-31","2001Q1","62512.80"
"2001-06-30","2001Q2","62985.00"
"2001-09-30","2001Q3","63695.40"
"2001-12-31","2001Q4","64321.70"
"2002-03-31","2002Q1","65123.40"
